function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
ackley2d,35,0.2,0.1,114,2.354335340895578,6242.303353477314,630,11.262434244155884,2.354335340895578,2500
ackley2d,35,0.3,0.1,100,0.893619124840733,6251.312070751026,630,11.177575588226318,0.893619124840733,2500
ackley2d,35,0.3,0.1,101,0.893619124840733,6086.876516550388,630,12.811635494232178,0.893619124840733,2500
ackley2d,35,0.3,0.1,102,0.893619124840733,6166.4921782147485,630,9.130530834197998,0.893619124840733,2500
ackley2d,35,0.3,0.1,103,0.893619124840733,6172.3859749323965,630,14.339018821716309,0.893619124840733,2500
ackley2d,35,0.3,0.1,104,0.893619124840733,6197.18622211325,630,12.847598791122437,0.893619124840733,2500
ackley2d,35,0.3,0.1,105,0.893619124840733,6146.664886170276,630,10.542351484298706,0.893619124840733,2500
ackley2d,35,0.3,0.1,106,2.354335340895578,6244.421883039729,630,10.135318040847778,2.354335340895578,2500
ackley2d,35,0.3,0.1,107,2.354335340895578,6163.980989152707,630,13.020069599151611,2.354335340895578,2500
ackley2d,35,0.3,0.1,108,2.8602761817469475,6213.946068845573,630,10.159388780593872,2.8602761817469475,2500
ackley2d,35,0.3,0.1,109,0.893619124840733,6139.573879451584,630,11.61931324005127,0.893619124840733,2500
ackley2d,35,0.3,0.1,110,0.893619124840733,6124.969585154509,630,9.661677360534668,0.893619124840733,2500
ackley2d,35,0.3,0.1,111,0.893619124840733,6003.931834546823,630,12.795496225357056,0.893619124840733,2500
ackley2d,35,0.3,0.1,112,0.893619124840733,6241.737694773444,630,12.389455795288086,0.893619124840733,2500
ackley2d,35,0.3,0.1,113,2.8602761817469475,6257.99894689468,630,10.219835042953491,2.8602761817469475,2500
ackley2d,35,0.3,0.1,114,2.354335340895578,6242.303353477314,630,11.613856077194214,2.354335340895578,2500
ackley2d,35,0.4,0.1,100,0.893619124840733,6251.312070751026,630,11.746379852294922,0.893619124840733,2500
ackley2d,35,0.4,0.1,101,0.893619124840733,6086.876516550388,630,12.745211839675903,0.893619124840733,2500
ackley2d,35,0.4,0.1,102,0.893619124840733,6166.4921782147485,630,8.599785804748535,0.893619124840733,2500
ackley2d,35,0.4,0.1,103,0.893619124840733,6172.3859749323965,630,13.935455560684204,0.893619124840733,2500
ackley2d,35,0.4,0.1,104,0.893619124840733,6197.18622211325,630,12.3146493434906,0.893619124840733,2500
ackley2d,35,0.4,0.1,105,0.893619124840733,6146.664886170276,630,10.734284400939941,0.893619124840733,2500
ackley2d,35,0.4,0.1,106,2.354335340895578,6244.421883039729,630,10.556244850158691,2.354335340895578,2500
ackley2d,35,0.4,0.1,107,2.354335340895578,6163.980989152707,630,13.462837934494019,2.354335340895578,2500
ackley2d,35,0.4,0.1,108,2.8602761817469475,6213.946068845573,630,10.012511253356934,2.8602761817469475,2500
ackley2d,35,0.4,0.1,109,0.893619124840733,6139.573879451584,630,11.720936298370361,0.893619124840733,2500
ackley2d,35,0.4,0.1,110,0.893619124840733,6124.969585154509,630,9.909112691879272,0.893619124840733,2500
ackley2d,35,0.4,0.1,111,0.893619124840733,6003.931834546823,630,12.91442608833313,0.893619124840733,2500
ackley2d,35,0.4,0.1,112,0.893619124840733,6241.737694773444,630,12.640684127807617,0.893619124840733,2500
ackley2d,35,0.4,0.1,113,2.8602761817469475,6257.99894689468,630,10.57044768333435,2.8602761817469475,2500
ackley2d,35,0.4,0.1,114,2.354335340895578,6242.303353477314,630,11.35923147201538,2.354335340895578,2500
ackley2d,50,0.2,0.1,100,0.893619124840733,6081.205497394004,630,12.384108543395996,0.893619124840733,2500
ackley2d,50,0.2,0.1,101,2.354335340895578,6239.7899917746745,630,10.740559101104736,2.354335340895578,2500
